romanian,french,italian,spanish,portuguese,ancestor

a,al,avere,alde
enormitate,enɔrmite,enormita,enoɾmidad
entitate,ɛntjte,entita,entidad
enukleare,enyklé,enukleare,enukleaɾe
enumera,enymere,enumerare,enumeɾaɾ
enumerat͡sie,enymeratjɔ̃,enumerasione,enumeɾasion
enunt͡sa,enɔnse,enunsiare,enunsiaɾ
epik,epik,epiko,epiko
epidermə,epidɛrm,epidermide,epideɾmis
epiɡramə,epiɡram,epiɡramːa,epiɡɾama
epilepsie,epilɛpsj,epilesːia,epilepsja
epileptik,epilɛptjk,epiletːiko,epileptiko
epiloɡ,epilɔɡɥ,epiloɡo,epiloɡo
episkop,episkɔ,veʃovo,obispo
episkopal,episkɔpal,epiʃopale,episkopal
episkopat,episkɔpa,epiʃopato,episkopado
epitaf,epitaf,epitafːio,epitafjo
epitalam,epitalam,epitalamio,epitalamjo
epitet,epitɛ,epiteto,epiteto
epitomə,epitɔm,epitome,epitome
eradika,eradike,eradikare,eradikaɾ
erekt͡sie,erɛktjɔ̃,eresione,eɾeksion
ereditar,ereditɛr,ereditario,eɾeditaɾjo
erizipel,erisipɛl,erisipela,eɾisipela
eroik,eroik,eroiko,eɾoiko
erou,ərwak,eroe,eɾoe
eroziune,erɔsjɔ̃,erosione,eɾosjon
erupt͡sie,eryptjɔ̃,erusione,eɾupsion
esent͡sə,ɛsɛn,esːensa,esensia
esent͡sial,ɛsâtjɛl,esːensiale,esensial
estimat,ɛstjme,estimare,estimaɾ
estru,ɔɛstr,estro,estɾo
estuar,ɛstɥɛr,estuario,estwaɾjo
etern,etɛrnize,eterno,eteɾno
eternitate,etɛrnite,eternita,eteɾnidad
eteroklit,eterɔkli,eteroklito,eteɾoklita
etimolod͡ʒie,etjmɔlɔɡj,etimolod͡ʒa,etimoloxia
eufonie,œfɔnj,eufonia,eufonja
eunuk,œnyk,eunuko,eunuko
euritmie,œritmj,euritmia,euɾitmja
evakua,evakɥe,evakuare,ebakwaɾ
evanɡeliza,evanʒelize,evand͡ʒelit͡sare,ebanxelisaɾ
evapora,evapɔre,evaporare,ebapoɾaɾ
evaziune,evasjɔ̃,evasione,ebasjon
eversiune,evɛrsjɔ̃,eversione,ebeɾsjon
evident,evi,evidente,ebidente
evident͡sə,evidɛn,evidensa,ebidensia
evita,evite,evitare,ebitaɾ
evitabil,evitabl,evitabile,ebitable
evoka,evɔke,evokare,ebokaɾ
eksat͡ʃerba,ɛksazɛrbe,esat͡ʃerbare,eksaseɾbaɾ
eksad͡ʒera,ɛksaʒere,esad͡ʒerare,eksaxeɾaɾ
eksaltat͡sie,ɛksaltatjɔ̃,esaltasione,eksaltasion
eksaltat͡siune,ɛksaltatjɔ̃,esaltasione,eksaltasion
eksamen,ɛksamâ,esame,eksamen
eksaminator,ɛksaminatœr,esaminatore,eksaminadoɾ
eksaspera,ɛksaspere,esasperare,eksaspeɾaɾ
ekskava,ɛkskave,ʃavare,ekskabaɾ
ekst͡ʃelent,ɛkssɛl,et͡ʃːelːente,eksselente
ekst͡ʃept͡sie,ɛkssɛptjɔ̃,et͡ʃːesione,ekssepsion
ekst͡ʃes,ɛkssɛ,et͡ʃːesːo,eksseso
ekst͡ʃita,ɛkssite,et͡ʃːitare,ekssitaɾ
ekst͡ʃitabil,abl,et͡ʃːitabile,ekssitable
ekst͡ʃitat͡sie,ɛkssitatjɔ̃,et͡ʃːitasione,ekssitasion
ekst͡ʃitat͡siune,ɛkssitatjɔ̃,et͡ʃːitasione,ekssitasion
eksklama,ɛksklame,eʃlamare,eksklamaɾ
eksklamat͡sie,ɛksklamatjɔ̃,eʃlamasione,eksklamasion
eksklamat͡siune,ɛksklamatjɔ̃,eʃlamasione,eksklamasion
eksklude,ɛksklyr,eʃludere,eksklwiɾ
ekskluziune,ɛksklysjɔ̃,eʃlusione,eksklusjon
ekskomunika,ɛkskɔmynje,ʃomunikare,ekskomulɡaɾ
ekskret͡sie,ɛkskretjɔ̃,eʃresione,ekskɾesion
eksekrabil,ɛksekrabl,esekrabile,eksekɾable
eksedrə,ɛksɛdr,esedra,eksedɾa
eksemplu,ɛksâpl,esempio,exemplo
ekshaustiv,ɛksostjf,esaustivo,eksaustibo
eksil,ɛksil,esilio,eksiljo
eksod,ɛksɔ,esodo,eksodo
eksort͡ʃism,ɛksɔrsism,esort͡ʃizmo,eksoɾsismo
eksort͡ʃist,ɛksɔrsist,esort͡ʃista,eksoɾsista
eksordiu,ɛksɔrd,esordio,eksoɾdjo
ekspansiune,ɛkspâsjɔ̃,espansione,ekspansjon
ekspedit͡sie,ɛkspeditjɔ̃,spedisione,ekspedision
eksperient͡sə,ɛksperjɛn,esperiensa,ekspeɾjensia
ekspia,ɛkspje,espiare,ekspjaɾ
ekspiat͡sie,ɛkspjatjɔ̃,espiasione,ekspjasion
ekspiat͡siune,ɛkspjatjɔ̃,espiasione,ekspjasion
ekspiator,ɛkspjatwar,espiatorio,ekspjatoɾjo
eksplika,ɛksplike,spieɡare,eksplikaɾ
eksplora,ɛksplɔre,esplorare,eksploɾaɾ
eksplozie,ɛksplɔsjɔ̃,esplosione,eksplosjon
eksporta,ɛkspɔrtatjɔ̃,esportasione,ekspoɾtaɾ
ekspozit͡sie,ɛkspɔzitjɔ̃,esposisione,eksposision
ekspozit͡siune,ɛkspɔzitjɔ̃,esposisione,eksposision
ekspres,ɛkspr,espresːo,ekspɾeso
ekspresie,ɛksprɛsjɔ̃,espresːione,ekspɾesjon
ekspulsie,ɛkspylsjɔ̃,espulsione,ekspulsjon
ekstensiune,ɛkstâsjɔ̃,estensione,ekstensjon
ekstermina,ɛkstɛrmine,sterminare,eksteɾminaɾ
ekstern,ɛkstɛrn,esterno,eksteɾno
ekstinkt͡sie,ɛkstɛ̃ktjɔ̃,estinsione,ekstinsion
ekstorsiune,ɛkstɔrsjɔ̃,estorsione,ekstoɾsjon
ekstrakt͡sie,ɛkstraktjɔ̃,estrasione,ekstɾaksion
ekstrad͡ʒe,ɛkstrɛr,estrarːe,ekstɾaeɾ
ekstras,ɛkstrɛr,estrarːe,ekstɾaeɾ
eksuberant͡sə,ɛksyberan,esuberansa,eksubeɾansia
fabrikə,fabrika,fabːrika,fabɾika
fabulə,fabylatjɔ̃,favola,fabula
fat͡ʃe,fatyr,fare,faktotum
fat͡ʃil,fazil,fat͡ʃile,fasil
fakt͡siune,faktjɔ̃,fasione,faksion
fakturə,fatyr,fatːura,faktuɾa
faɡ,fu,fad͡ʒːeto,faɡ
fəinə,farin,farina,aɾina
falanɡə,falanʒ,faland͡ʒe,falanxe
falkə,fo,falt͡ʃe,false
fals,fo,falso,falso
falsitate,fosɛte,falsita,falsedad
familiar,familje,familiare,familjaɾ
familiaritate,familjarite,familiarita,familjaɾidad
familie,familj,famiʎa,familja
fanatik,fanatjk,fanatiko,fanatiko
fantasmə,fantasm,fantazma,fantasma
fantastik,fantastjk,fantastiko,fantastiko
fapt,fɛ,fatːo,et͡ʃo
far,far,faro,faɾo
fərə,fɔr,fuora,fweɾa
farmat͡ʃie,farmakj,farmat͡ʃa,faɾmasia
farsə,far,farsa,faɾsa
fast͡ʃikulə,fazikyl,fast͡ʃikolo,fassikulo
fast͡ʃinat͡sie,fazinatjɔ̃,fast͡ʃinasione,fassinasion
fast͡ʃinat͡siune,fazinatjɔ̃,fast͡ʃinasione,fassinasion
fət,faɔ̃,feto,feto
fatal,fatal,fatale,fatal
fazan,fɛzâ,fad͡ʒano,faisan
febrə,fjɛvr,febːre,fjebɾe
febril,febril,febːrile,febɾil
fekulə,fekyl,fekola,fekula
fekunditate,fekɔndite,fekondita,fekundidad
federal,federal,federale,fedeɾal
federat͡sie,federatjɔ̃,federasione,fedeɾasion
felin,felɛ̃,felino,felino
fenomen,fenɔmɛn,fenomeno,fenomeno
fer,fe,fero,ʝero
fermenta,fɛrmɛnte,fermentare,feɾmentaɾ
ferot͡ʃe,fərɔz,ferot͡ʃe,feɾos
ferot͡ʃitate,ferɔzite,ferot͡ʃita,feɾosidad
fertil,fɛrtjl,fertile,feɾtil
festin,fɛstɛ̃,festino,fjesta
festival,fɛstjval,festival,festibal
fat͡sə,faz,fat͡ʃːa,fas
fetid,fetj,fetido,fetido
fetiʃ,fetjʃ,fetit͡ʃːo,fetit͡ʃe
fetus,foety,feto,feto
fiare,fe,ferːaru,feɾa
fibrə,fibr,fibra,fibɾa
fikat,fɔj,feɡato,ʝɡado
fidut͡ʃiar,fidykjɛr,fidut͡ʃario,fidusiaɾjo
fie,fij,fiʎa,ʝxa
fier,fe,ferːaru,ʝero
fiere,fjəl,fiele,ʝel
fiɡurat͡sie,fiɡratjɔ̃,fiɡurasione,fiɡwɾasion
fii,filjal,fiʎo,ʝxo
filiat͡sie,filjatjɔ̃,filiasione,filjasion
filiat͡siune,filjatjɔ̃,filiasione,filjasion
filosoafə,filɔzɔf,filosofo,filosofo
filozofa,filɔzɔfe,filosofare,filosofaɾ
filozofik,filɔzɔfik,filosofiko,filosofiko
final,final,finale,final
finit,fini,finire,finito
fir,fil,filo,ʝlo
firmament,firmam,firmamento,fiɾmamento
fiskal,fiskal,fiʃale,fiskal
fistik,fystɛ,pistát͡ʃːo,alfonsiɡo
fistulə,fistyl,fistola,fistula
fistulos,fistylœ,fistoloso,fistuloso
fizikə,fisik,fisika,fisika
flakərə,flam,fiakːola,ʝama
flad͡ʒela,flaʒɛle,flad͡ʒelːare,flaxelaɾ
flaɡrant,flaɡran,flaɡrante,flaɡɾante
fleksibil,flɛksibl,flesːibile,fleksible
floare,flœr,fiore,floɾ
flok,flɔʃ,fiokːo,ʝweko
flokul,flɔkkyli,fiokːo,ʝweko
florikulturə,flɔrikyltyr,fiore,floɾ
flotə,flɔ,flotːa,flota
fluktua,flyktɥe,flutːuare,fluktwaɾ
fluktuat͡sie,flyktɥatjɔ̃,flutːuasione,fluktwasion
fluktuat͡siune,flyktɥatjɔ̃,flutːuasione,fluktwasion
fluid,flɥi,fluido,flwido
fluor,flɥɔr,fluoro,flwoɾ
fluksiune,flyksjɔ̃,flusːo,fluxo
foaie,fœjl,foʎa,oxa
foale,fɔl,folːe,fwele
foame,fɛ̃,fame,ambɾe
fok,fœ,fuoko,fweɡo
foramen,fɔramâ,forame,foɾamen
formal,fɔrmɛl,formale,foɾmal
format,fɔrma,formato,foɾmato
format͡sie,fɔrmatjɔ̃,formasione,foɾmasion
formidabil,fɔrmidabl,formidabile,foɾmidable
formulə,fɔrmyl,formula,foɾmula
fornikat͡sie,fɔrnikatjɔ̃,fornikasione,foɾnikasion
fortifikat͡sie,fɔrtjfikatjɔ̃,fortifikasione,foɾtifikasion
fortuit,fɔrtɥi,fortuito,foɾtwito
fosfor,fɔsfɔr,fosforo,fosfoɾo
fosil,fɔsil,fosːile,fosil
frakt͡sie,fraktjɔ̃,frasione,fɾaksion
frakturə,fraktyr,fratːura,fɾaktuɾa
fraɡ,kăpșynă,fraɡa,fɾaɡa
frad͡ʒil,fraʒil,frad͡ʒile,fɾaxil
frad͡ʒilitate,fraʒilite,frad͡ʒilita,fɾaxilidad
fraɡment,fraɡm,framːento,fɾaɡmento
franʒ,franʒ,frand͡ʒa,fɾanxa
frasin,frɛnaj,frasːineto,fɾesno
frate,kɔ̃frɛr,fra,eɾmano
fratrit͡ʃid,fratrizi,fratrit͡ʃidio,fɾatɾisidjo
fraudə,fro,fraudare,fɾaude
frazə,fraz,frase,fɾase
frekat,frɛ́,freɡare,fɾeɡaɾ
frekvent͡sə,frekɛn,frekuensa,fɾekwensia
friabil,frjabl,friabile,fɾjable
frid͡ʒe,frɛsyr,frid͡ʒere,fɾeiɾ
frɨŭ,frɛ̃,freno,fɾeno
frivol,frivɔl,frivolo,fɾibolo
frontispit͡ʃiu,frɔntjspiz,frontespisio,fɾontispisio
fruktifikat͡sie,fryktjfikatjɔ̃,frutːifikasione,fɾuktifikasion
fruɡal,fryɡal,fruɡale,fɾuɡal
fruɡalitate,fryɡalite,fruɡalita,fɾuɡalidad
frunte,ɛfrɔnte,fronte,fɾente
frupt,frɥi,frutːo,fɾut͡ʃo
fuɡ,fyʒ,fud͡ʒːire,wiɾ
fuɡə,fuɡɥœ,foɡa,wiɾ
fud͡ʒitiv,fyʒitjf,fud͡ʒːitivo,fuxitibo
fum,fyme,fumo,wmo
fuma,fyme,fumare,fumaɾ
fumiɡat͡sie,fymiɡatjɔ̃,fumiɡasione,fumiɡasion
fumiɡat͡siune,fymiɡatjɔ̃,fumiɡasione,fumiɡasion
funkt͡sie,fɔ̃ktjɔ̃,funsione,funsion
funkt͡siune,fɔ̃ktjɔ̃,funsione,funsion
fund,afɔnde,afːondare,aondaɾ
funeralii,fynerajl,funerale,funeɾal
fund͡ʒi,fɔnʒi,fionko,onɡos
funɡus,fɔŋy,funɡo,onɡo
furkə,furʃ,forka,oɾka
furnal,drapo,forno,oɾno
furnikə,furmi,formika,fouɾniɡa
fus,fyzo,fuso,wso
fute,futr,fotːere,odeɾ
futil,fytjl,futile,futil
fuziune,fysjɔ̃,fusione,fusjon
ɡəinə,ʒəlin,ɡalːina,ɡaʝina
ɡalban,ɡalbanɥə̃,ɡalbano,ɡalbano
ɡalikan,ɡalikâ,ɡalːikano,ɡalikana
d͡ʒeamən,ʒeməɔ,d͡ʒemino,xemelo
d͡ʒelatinə,ʒelatjn,d͡ʒelatina,xelatina
d͡ʒeme,ɡɛ̃dr,d͡ʒemere,xemiɾ
d͡ʒenealod͡ʒie,ʒenealɔɡj,d͡ʒenealod͡ʒa,xenealoxia
d͡ʒenera,ʒenere,d͡ʒenerare,xeneɾaɾ
d͡ʒeneral,ʒənɛralizɛ̃,d͡ʒenerale,xeneɾal
d͡ʒeneralitate,ʒeneralite,d͡ʒeneralita,xeneɾalidad
d͡ʒenerat͡sie,ʒeneratjɔ̃,d͡ʒenerasione,xeneɾasion
d͡ʒenerat͡siune,ʒeneratjɔ̃,d͡ʒenerasione,xeneɾasion
d͡ʒenerator,ʒeneratœr,d͡ʒeneratore,xeneɾadoɾ
d͡ʒeneros,ʒenerœ,d͡ʒeneroso,xeneɾoso
d͡ʒenerozitate,ʒenerɔzite,d͡ʒenerosita,xeneɾosidad
d͡ʒenital,ʒenital,d͡ʒenitale,xenital
d͡ʒenitor,ʒenitœr,d͡ʒenitore,xenitoɾ
d͡ʒeniu,ʒenj,d͡ʒenio,xenjo
d͡ʒent͡sianə,ɡâtjan,d͡ʒensiana,xensiana
d͡ʒenuki,ʒənu,d͡ʒinokːio,ʝnoxo
d͡ʒenufleksiune,ʒenyflɛksjɔ̃,d͡ʒenuflesːione,xenufleksjon
d͡ʒermina,ʒɛrme,d͡ʒerminare,xeɾminaɾ
d͡ʒerminat͡sie,ʒɛrminatjɔ̃,d͡ʒerminasione,xeɾminasion
d͡ʒest,ʒɛst,d͡ʒesto,xesto
d͡ʒestə,ʒɛsta,d͡ʒesta,xesto
d͡ʒestat͡sie,ʒɛstatjɔ̃,d͡ʒestasione,xestasion
d͡ʒestat͡siune,ʒɛstatjɔ̃,d͡ʒestasione,xestasion
ɡimber,ʒiŋâbr,sensero,xenxibɾe
ɡində,ɡlan,ɡianda,lande
d͡ʒiɡant,ʒiɡantɔ,d͡ʒiɡante,xiɡante
d͡ʒimnastik,ʒimnastjk,d͡ʒinːastika,ximnastiko
d͡ʒinere,ɡâdr,d͡ʒenero,ieɾno
d͡ʒind͡ʒie,ʒɛnsiv,d͡ʒend͡ʒiya,ensia
ɡlabru,ɡlabr,ɡlabro,ɡlabɾo
ɡlat͡ʃial,ɡlakjal,ɡlat͡ʃale,ɡlasial
ɡladiator,ɡladjatœr,ɡladiatore,ɡladjadoɾ
ɡlaukom,ɡlokɔm,ɡlaukoma,ɡlaukoma
ɡlob,ɡlɔb,ɡlobo,ɡlobo
ɡlobulə,ɡlɔbyl,ɡlobulo,ɡlobulo
ɡloria,ɡlwar,ɡloria,ɡloɾja
ɡlorifika,ɡlɔrifje,ɡlorifikare,ɡloɾifikaɾ
ɡlorios,ɡlɔrjœ,ɡlorioso,ɡloɾjoso
ɡlosar,ɡlɔsɛr,ɡlosːario,ɡlosaɾjo
ɡluten,ɡly,ɡlutine,ɡluten
ɡlutinos,ɡlytjnœ,ɡlutinoso,ɡlutinoso
ɡnomon,ɲɔmɔ̃,ɲomone,ɡnomon
ɡradat͡sie,ɡradatjɔ̃,ɡradasione,ɡɾadasion
ɡrafik,ɡrafik,ɡrafiko,ɡɾafiko
ɡramatik,ɡramɛr,ɡramːatika,ɡɾamatika
ɡramatikə,ɡramɛr,ɡramːatika,ɡɾamatika
ɡranulə,ɡranyl,ɡranulo,ɡɾanulo
ɡras,ɡra,ɡrasːo,ɡɾaso
ɡrat͡sie,ɡrakje,ɡrasia,ɡɾasia
ɡratifikat,ɡratjfje,ɡratifikare,ɡɾatifikado
ɡratifikat͡sie,ɡratjfikatjɔ̃,ɡratifikasione,ɡɾatifikasion
ɡratis,ɡratj,ɡratis,ɡɾatis
ɡrava,ɡrav,ɡrave,ɡɾabe
ɡravi,ɡrav,ɡrave,ɡɾabe
ɡravid,ɡravi,ɡravido,ɡɾabido
ɡravita,ɡravite,ɡravitare,ɡɾabitaɾ
ɡravitate,ɡravite,ɡravita,ɡɾabedad
ɡreakə,ɡrək,ɡreko,ɡɾjeɡo
ɡreɡar,ɡreɡɛr,ɡreɡario,ɡɾeɡaɾjo
ɡros,ɡrɔs,ɡrosːo,ɡɾweso
ɡruie,ɡrɥə,ɡrue,ɡɾwa
ɡumə,ɡɔm,ɡomːa,ɡoma
ɡusta,deɡute,ɡusto,ɡwsto
ɡutə,ɡu,ɡota,ɡota
ɡuverna,ɡuvɛrne,ɡovernare,ɡobeɾnaɾ
had͡ʒioɡraf,aɡjɔ-ɡraf,ad͡ʒoɡrafo,axioɡɾafo
herminə,ɛrmin,ermelːino,aɾmiɲo
hernie,ɛrnj,ernia,eɾnja
herpes,ɛrpɛ,erpes,eɾpes
hiat͡ʃint,iazint,d͡ʒat͡ʃinto,xasinto
hiat,jaty,iato,ʝato
hidraulik,idrolik,idrauliko,ʝdɾauliko
hidromel,idrɔmɛl,idromele,ʝdɾomjel
hieratik,jeratjk,ieratiko,ʝeɾatiko
himerə,ʃimɛr,kimera,kimeɾa
hipodrom,ipɔ<syp>2<syp>,ipːodromo,ʝpodɾomo
hipostazə,ipɔstaz,ipostasi,ʝpostasis
lua,je,ekːo,liɲa
iambik,jambik,d͡ʒambiko,iambiko
iarbə,ɛrb,erba,ʝeɾba
iarnə,ive,verno,inbjeɾno
iau,ləve,levare,ʝebaɾ
ideal,ideal,ideale,ideal
idee,ide,idea,idea
identitate,idɛntjte,identita,identidad
idilə,idij,idilːio,idiljo
idiom,idjɔm,idioma,idjoma
idiot,idjɔ,idiota,idjota
idol,idɔlɑtr,idolo,idolo
idolatrie,idɔlɑtrj,idolatria,idolatɾja
iederə,ljɛrr,edera,ʝedɾa
iepure,ljɛvr,lebre,ljebɾe
ieŭ,ʒə,io,io
iɡnorant͡sə,iɲɔran,iɲoransa,iɡnoɾansia
ilaritate,ilarite,ilarita,ʝlaɾidad
iled͡ʒitim,ijeʒitjm,ilːed͡ʒitimo,ilexitimo
ilit͡ʃit,ijizi,ilːet͡ʃito,ilisito
ilumina,ijymine,ilːuminare,iluminaɾ
iluminat͡sie,ijyminatjɔ̃,ilːuminasione,iluminasion
ilustru,ijystr,ilːustre,ilustɾe
iluzoriu,ijyzwar,ilusorio,ilusoɾjo
imad͡ʒinar,imaʒinɛr,imːad͡ʒinario,imaxinaɾjo
imad͡ʒinare,imaʒinɛr,imːad͡ʒinare,imaxinaɾjo
imad͡ʒinat͡sie,imaʒinatjɔ̃,imːad͡ʒinasione,imaxinasion
imad͡ʒinat͡siune,imaʒinatjɔ̃,imːad͡ʒinasione,imaxinasion
imanent,iman,imːanente,inmanente
imaterial,imaterjɛl,imːateriale,inmateɾjal
ɨmbuka,ɛmbuʃe,imbokːare,embokaɾ
imersiune,imɛrsjɔ̃,imːersione,inmeɾsjon
imiɡra,imiɡran,imːiɡrare,inmiɡɾaɾ
iminent,imin,imːinente,inminente
iminent͡sə,iminɛn,imːinensa,inminensia
imita,imite,imitare,imitaɾ
imitabil,imitabl,imitabile,imitable
imitat͡sie,imitatjɔ̃,imitasione,imitasion
imitativ,imitatjf,imitativo,imitatibo
imobil,imœbl,imːobile,inmobil
imobilitate,imɔbilite,imːobilita,inmobilidad
imortal,imɔrtɛl,imːortale,inmoɾtal
imortalitate,imɔrtalite,imːortalita,inmoɾtalidad
impat͡ʃient,impatj,impasiente,impasiente
ɨmpərat,ɛmpɛrœr,imperadore,empeɾadoɾ
impasibil,impasibl,impasːibile,impasible
impasibilitate,impasibilite,impasːibilita,impasibilidad
impekabil,impɛkkabl,impekːabile,impekable
impenetrabil,impenetrabl,impenetrabile,impenetɾable
imperativ,imperatjf,imperativo,impeɾatibo
imperfekt,imparfɛ,imperfetːo,impeɾfekto
imperfekt͡siune,impɛrfɛktjɔ̃,imperfesione,impeɾfeksion
impersonal,impɛrsɔnɛl,impersonale,impeɾsonal
imperturbabil,impɛrtyrbabl,imperturbabile,impeɾtuɾbable
ɨmpiedika,ɛmpɛʃe,impedikare,empat͡ʃaɾ
impietate,ɛ̃pjete,empieta,impjedad
implakabil,ɛ̃plakabl,implakabile,implakable
implikat͡sie,ɛ̃plikatjɔ̃,implikasione,implikasion
implit͡ʃit,ɛ̃plizi,implit͡ʃito,implisito
importa,impɔrtatjɔ̃,importasione,impoɾtaɾ
imposibil,impɔsibl,imposːibile,imposible
imposibilitate,impɔsibilite,imposːibilita,imposibilidad
impostoare,impɔstœr,impostore,impostoɾ
imposturə,impɔstyr,impostura,impostuɾa
impotent,impɔ,impotente,impotente
impotent͡sə,impɔtɛn,impotensa,impotensia
impozit,impo,imposta,impwesto
imprekat͡sie,ɛ̃prekatjɔ̃,imprekasione,impɾekasion
impresie,ɛ̃prɛsjɔ̃,impresːione,impɾesjon
impresiune,ɛ̃prɛsjɔ̃,impresːione,impɾesjon
imprima,ɛ̃prime,imprimere,impɾimiɾ
imprudent,ɛ̃pry,imprudente,impɾudente
imprudent͡sə,ɛ̃prydɛn,imprudensa,impɾudensia
impune,impɔze,imporːe,imponeɾ
ɨmpund͡ʒe,pɔɛ̃dr,pund͡ʒere,punxiɾ
impunitate,impynite,impunita,impunidad
impur,impyr,impuro,impuɾo
impuritate,impyrɛte,impurita,impuɾesa
imputa,impyte,imputare,imputaɾ
imputat͡sie,impytatjɔ̃,imputasione,imputasion
imund,imɔn,imːondo,inmundo
imunitate,imynite,imːunita,inmunidad
imutabilitate,imytabilite,imːutabilita,inmutabilidad
in,ɛ̃,lino,lino
inakt͡ʃesibil,inaksɛsibl,inat͡ʃːesːibile,inaksesible
ɨnalt,ose,alto,alsaɾ
inamik,ɛnɛmi,nemiko,enemiɡo
inauɡura,inoɡre,inauɡurare,inauɡwɾaɾ
ɨnkəleka,ʃəvoʃe,kavalkare,kabalɡaɾ
ɨnkəlt͡sa,ʃosɛm,kalsamento,kalsamjento
ɨnkərka,ʃarʒe,karːikare,kaɾɡaɾ
int͡ʃest,insɛst,int͡ʃesto,insesto
int͡ʃestuos,insɛstɥœ,int͡ʃestuoso,insestwoso
inkizit͡sie,inkizitjɔ̃,inkuisisione,inkisision
inkizitor,inkizitœr,inkuisitore,inkisidoɾ
int͡ʃident,insi,int͡ʃidente,insidente
ɨnt͡ʃind͡ʒe,kɛ̃dr,int͡ʃendere,ensendeɾ
int͡ʃita,insite,int͡ʃitare,insitaɾ
int͡ʃizie,insisjɔ̃,int͡ʃisione,insisjon
ɨnklina,ɛ̃kline,inklinare,inklinaɾ
ɨnklinat͡sie,ɛ̃klinatjɔ̃,inklinasione,inklinasion
inkluziune,ɛ̃klysjɔ̃,inklusione,inklusjon
inkolor,inkɔlɔr,inkoloro,inkoloɾo
inkonɡruent,inkɔ̃ɡrɥ,inkonɡruente,inkonɡɾwente
inkonɡruent͡sə,inkɔ̃ɡrɥɛn,inkonɡruensa,inkonɡɾwensia
inkonstant͡sə,inkɔ̃stan,inkostansa,inkonstansia
inkontinent͡sə,inkɔntjnɛn,inkontinensa,inkontinensia
inkoruptibil,inkɔrryptjbl,inkorːutːibile,inkoruptible
inkoruptibilitate,inkɔrryptjbilite,inkorːutːibilita,inkoruptibilidad
inkredul,ɛ̃kredyl,inkredulo,inkɾedulo
inkrimina,ɛ̃krimine,inkriminare,inkɾiminaɾ
inkubat͡sie,inkybatjɔ̃,inkubasione,inkubasion
inkunabul,inkynabl,inkunabolo,inkunable
inkurabil,inkyrabl,inkurabile,inkuɾable
inkursiune,inkyrsjɔ̃,inkursione,inkuɾsjon
indet͡ʃent,indez,indet͡ʃente,indesente
indet͡ʃent͡sə,indezɛn,indet͡ʃensa,indesensia
indeklinabil,indeklinabl,indeklinabile,indeklinable
indeterminabil,indetɛrminabl,indeterminabile,indeteɾminable
indeterminat,indetɛrmine,indeterminato,indeteɾminado
indika,indike,indikare,indikaɾ
indikat͡sie,indikatjɔ̃,indikasione,indikasion
indikat͡siune,indikatjɔ̃,indikasione,indikasion
indikativ,indikatjf,indikativo,indikatibo
indit͡ʃe,indiz,indikare,indise
indiferent,indifer,indifːerente,indifeɾente
indiferent͡sə,indiferɛn,indifːerensa,indifeɾensia
indid͡ʒent,indi,indid͡ʒente,indixente
indid͡ʒest,indiʒɛst,indid͡ʒesto,indixesto
indid͡ʒestie,indiʒɛstjɔ̃,indid͡ʒestione,indixestjon
indirekt,indirɛkt,indiretːo,indiɾekto
indist͡ʃiplinə,indiziplin,indist͡ʃiplina,indissiplina
indistinkt,indistɛ̃kt,indistinto,indistinto
indivizibil,indivizibl,indivisibile,indibisible
indolent,indɔl,indolente,indolente
indolent͡sə,indɔlɛn,indolensa,indolensia
indut͡ʃe,indɥir,indurːe,indusiɾ
indukt͡sie,indyktjɔ̃,indusione,induksion
induktiv,indyktjf,indutːivo,induktibo
induld͡ʒent͡sə,indylʒɛn,induld͡ʒensa,indulxensia
indult,indylt,indulto,indulto
indument,indym,indumento,indumento
industrie,indystrj,industria,industɾja
inefabil,inɛfabl,inefːabile,inefable
inel,ano,anelːo,aniʝo
ineluktabil,inelyktabl,inelutːabile,ineluktable
inept,inɛpt,inetːo,inepto
inert,inɛrt,inerte,ineɾte
inert͡sie,inɛrtj,inersia,ineɾsia
inestimabil,inɛstjmabl,inestimabile,inestimable
ineksperient͡sə,inɛksperjɛn,inesperiensa,inekspeɾjensia
inekspuɡnabil,inɛkspyɲabl,inespuɲabile,inekspuɡnable
inekstrikabil,inɛkstrikabl,inestrikabile,inekstɾikable
infam,infam,infame,infame
infama,infam,infamare,infame
infamie,infamj,infamia,infamja
infantit͡ʃid,infantjzi,infantit͡ʃidio,infantisidjo
ɨnfəʃa,fɛse,fast͡ʃare,faxaɾ
infern,infɛrnal,inferno,infjeɾno
infernal,infɛrnal,infernale,infeɾnal
infidel,infidɛl,infedele,infjel
infidelitate,infidelite,infedelta,infidelidad
infinit,infini,infinito,infinito
infinitate,infinite,infinito,infinito
inflama,âflame,infiamːare,inflamaɾ
inflamat͡sie,ɛ̃flamatjɔ̃,infiamːasione,inflamasion
inflamat͡siune,ɛ̃flamatjɔ̃,infiamːasione,inflamasion
infleksibil,ɛ̃flɛksibl,inflesːibile,infleksible
infleksiune,ɛ̃flɛksjɔ̃,inflesːione,infleksjon
informa,infɔrm,informe,infoɾmaɾ
informat͡sie,infɔrmatjɔ̃,informasione,infoɾmasion
infuza,infy,infondere,infundiɾ
infuzie,infysjɔ̃,infusione,infusjon
ind͡ʒenuu,inʒeny,ind͡ʒenuo,inxenwo
ɨnd͡ʒer,anʒ,and͡ʒelo,anxel
ind͡ʒera,inʒere,ind͡ʒerire,inxeɾiɾ
